gene	met.row	expr.row	count
ATP2A1	1	1209	2
SLMAP	2	16471	2
MEOX2	3	10809	2
HOXD3	4	8039	2
ZNF425	5	20150	2
ZNF398	5	20135	2
PANX1	6	12911	2
COX8C	7	4152	2
KIAA1409	7	8995	5
IMPA2	8	8466	1
TTC8	9	18877	2
TMEM186	11	18233	4
PMM2	11	13664	4
ANG	12	666	4
RNASE4	12	15025	4
JMJD4	13	8703	3
SNAP47	13	16559	3
MUTED	14	11368	3
ELMOD3	16	5536	3
RETSAT	16	14848	3
ACRBP	17	206	2
QRFPR	18	14468	2
RHOC	19	14952	2
HOPX	20	7999	2
TULP1	21	18964	2
TAF15	22	17623	2
TBC1D20	23	17715	1
CCDC88B	24	3197	2
ELOVL5	25	5543	2
ITGB1BP1	26	8642	4
CPSF3	26	4192	4
MAP3K9	27	10581	2
DIP2C	28	4953	2
EPB41L3	29	5624	1
RAB38	30	14520	2
CCNB1IP1	31	3247	1
RPL36A	32	15235	2
RNF207	33	15094	4
TNFSF12	34	18437	4
TNFSF12-TNFSF13	34	18436	4
TMEM104	35	18140	2
NAT9	35	11568	2
MAMLD1	36	10532	2
FLJ13197	37	6477	2
KLF3	37	9117	2
C19orf56	38	2115	4
C9orf85	39	2820	2
FAM108B1	39	5869	2
NT5C2	40	12149	1
UBE2S	41	19070	2
SETBP1	42	15832	2
PIK3CB	43	13431	2
LSM7	44	10377	2
SPPL2B	44	17177	2
NDUFB10	45	11726	2
C11orf21	46	1742	2
TSPAN32	46	18804	2
LOC84856	47	10178	2
NOXO1	48	12019	1
PLD3	49	13570	4
C19orf47	49	2107	4
EPHA7	50	5643	2
ENTHD1	51	5607	2
CUL5	52	4451	2
POLE3	53	13733	4
C9orf43	53	2796	4
PRKCA	55	14069	1
CASP1	56	2996	2
C10orf4	57	1711	5
TACO1	58	17610	2
C7orf28B	59	2673	1
C1D	60	2131	2
RLN1	61	15008	2
CCDC122	62	3084	1
C13orf31	62	1848	1
GML	63	7130	2
TTC9B	64	18878	1
GLRA1	65	7089	2
PES1	66	13245	2
C7orf49	67	2688	2
RB1	68	14697	19
LEO1	69	9510	2
EIF2S3	70	5473	1
TECR	71	17861	10
ALX4	72	606	22
TULP2	73	18965	3
KRT31	74	9242	1
ACTL7A	75	237	2
CACNB3	76	2875	2
ACRV1	77	208	2
IL12B	78	8368	1
ATP5D	79	1223	2
CDR2	80	3514	2
FASLG	81	6215	2
MSH5	82	11241	2
MXD4	83	11378	2
GALNS	84	6826	4
TRAPPC2L	84	18602	4
STRA6	85	17422	2
UBTD2	86	19106	2
ZNF326	87	20093	2
ASAP1	88	1081	2
MDK	89	10742	2
WAS	90	19478	2
SUGT1P1	91	17470	11
SPINK4	91	17148	2
ARFGAP3	92	913	2
EED	93	5379	1
TSPAN9	94	18812	2
ABCC3	95	89	2
MAPK8IP2	97	10608	2
GATAD1	98	6881	2
PCGF2	99	13079	2
GATA4	100	6878	15
KRT20	101	9233	2
PABPC3	103	12853	2
KIF3C	104	9071	2
CACNA1S	105	2868	2
PLEKHO1	106	13607	2
DLX5	107	5014	18
ZFP36L2	108	19885	2
LOC100129726	108	9690	2
PNPLA6	110	13703	2
MPZ	112	11117	2
MPDU1	113	11087	1
NUDT14	114	12192	2
C1orf35	115	2233	2
TMEM179	116	18222	2
COMT	117	4092	3
TXNRD2	117	19000	3
PGM2	118	13312	2
C1QA	119	2134	2
DGKH	120	4892	2
PPP1R1B	121	13917	2
LILRB4	122	9579	2
CABP1	123	2852	2
AMD1	124	614	2
ADAMTSL1	125	314	2
RTN2	126	15388	4
RUNX3	127	15412	16
LAMP3	128	9402	2
KDM4C	129	8886	2
ASTN2	130	1138	3
MAOB	131	10550	1
RFX5	132	14881	2
WNT3	133	19618	2
SSX6	134	17301	1
BTK	135	1654	2
HSD17B10	136	8099	2
TIGD7	137	18023	2
C14orf102	138	1857	2
KIAA0494	139	8941	2
MKNK1	140	10967	2
CDK2	141	3479	6
SILV	141	16035	6
POLR2J	142	13762	1
DNAJC15	143	5077	2
CTNNA3	144	4404	4
CD276	145	3328	2
UBASH3A	146	19033	2
MYH1	147	11415	1
C3orf37	148	2475	2
GNPTAB	150	7184	2
IL21	151	8413	1
C1QC	152	2137	2
THOC5	153	17986	2
PMEPA1	154	13659	2
HCLS1	155	7687	2
UPRT	157	19216	2
NMUR1	158	11962	2
HIST3H2A	159	7886	4
HIST3H2BB	159	7887	2
GNPDA1	160	7181	2
APEX2	161	829	2
FANCF	162	6201	6
C3orf10	163	2453	2
MGLL	164	10915	1
PGK1	165	13303	2
TRAPPC2L	166	18602	4
GALNS	166	6826	4
SPRR2E	167	17189	2
VPS13B	168	19401	2
MED13L	169	10761	2
PRDX2	170	14024	2
APLP2	171	839	1
STK10	172	17385	2
OXGR1	173	12814	2
DDX20	174	4763	3
C1orf183	174	2204	3
GSTA4	175	7493	1
DDX58	176	4789	2
