PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	population	color	euro
TCGA-2F-A9KP	0.0082	0.0046	0.0023	0.0071	-0.0012	-0.0066	0	0.008	-0.0016	0.0043	TCGA	#BEBEBE80	TRUE
TCGA-2F-A9KR	0.0075	0.0054	0.0025	0.0068	6e-04	-0.0037	-2e-04	0.0072	0.0032	0.0096	TCGA	#BEBEBE80	TRUE
TCGA-2F-A9KT	0.0082	0.0052	0.0031	0.0091	0.0023	-0.0048	0.0013	0.0043	0.0045	0.0108	TCGA	#BEBEBE80	TRUE
TCGA-2F-A9KW	0.0077	0.0046	0.001	0.0043	2e-04	-0.0041	0.0014	0.0047	9e-04	0.0063	TCGA	#BEBEBE80	TRUE
TCGA-4Z-AA7M	0.0066	0.0058	0.0041	-0.0109	0.0024	0.0139	0.0021	0.0042	0.0025	2e-04	TCGA	#BEBEBE80	TRUE
TCGA-4Z-AA7Q	0.0073	0.0048	0.002	-0.0096	0.0042	0.0143	-0.0014	0.0056	0.0027	-0.0085	TCGA	#BEBEBE80	TRUE
TCGA-4Z-AA7S	0.0042	0.0045	-0.0064	-0.0088	0.006	0.0125	-0.0064	0.0022	4e-04	-0.0047	TCGA	#BEBEBE80	TRUE
TCGA-4Z-AA7W	0.0071	0.0048	0.0031	-0.0122	0.0052	0.0159	0.0023	0.0071	0.0017	-0.0082	TCGA	#BEBEBE80	TRUE
TCGA-4Z-AA7Y	0.0068	0.0051	0.0013	-0.0119	0.0054	0.0157	0.0025	0.0052	0.0042	-0.0054	TCGA	#BEBEBE80	TRUE
TCGA-4Z-AA80	0.007	0.0054	0.0043	0.0062	8e-04	-0.0031	-1e-04	-0.01	-0.0034	3e-04	TCGA	#BEBEBE80	TRUE
TCGA-4Z-AA83	0.0076	0.0042	0.0019	0.0014	-1e-04	2e-04	0	-0.0264	0.0024	-0.0119	TCGA	#BEBEBE80	TRUE
TCGA-4Z-AA84	0.0047	0.0037	-0.009	-0.0089	0.011	0.0147	2e-04	0.0071	-0.0011	-0.0066	TCGA	#BEBEBE80	TRUE
TCGA-BL-A5ZZ	0.0077	0.0046	0.0028	0.0077	0.001	-0.0034	8e-04	0.0104	0.001	0.0059	TCGA	#BEBEBE80	TRUE
TCGA-BT-A0S7	0.0076	0.005	0.0031	0.0077	0.0025	-0.0039	-0.0028	0.0073	-0.0016	0.0055	TCGA	#BEBEBE80	TRUE
TCGA-BT-A0YX	0.0068	0.0045	0.0034	0.0072	-0.0015	-0.0085	-0.0017	-0.0344	-1e-04	-0.0059	TCGA	#BEBEBE80	TRUE
TCGA-BT-A2LB	0.0078	0.0046	0.0024	0.007	0.0018	-0.0027	-4e-04	0.0123	-0.0021	0.0026	TCGA	#BEBEBE80	TRUE
TCGA-BT-A2LD	0.0081	0.0057	0.002	0.0067	0.0037	-0.0037	9e-04	0.0093	7e-04	0.0092	TCGA	#BEBEBE80	TRUE
TCGA-BT-A3PH	0.0077	0.0054	0.003	0.003	0.0011	0	0.0032	0.0048	-0.0063	0.0044	TCGA	#BEBEBE80	TRUE
