geneid	chr	s1	s2
?|100130426	chr9	79791679	79792806
?|100133144	chr15	82647286	82708202
?|100134869	chr15	82647286	82707815
?|10357	chr20	56063450	56064083
?|10431	chr10	51592090	51623336
?|136542	chr7	141940630	141943268
?|155060	chr7	148959262	148994397
?|26823	chr23	46991713	46992256
?|280660	chr23	48154885	48165614
?|317712	chr4	70999321	71012421
?|340602	chr23	51149767	51151687
?|388795	chr20	31446729	31549414
?|390284	chr12	6547667	6547997
?|391343	chr2	902783	906011
?|391714	chr4	165980300	165981705
?|404770	chr9	84675660	84677004
?|441362	chr8	86727073	86749604
?|442388	chr8	57285627	57307924
?|553137	chr6	107218007	107222877
?|57714	chr17	78234667	78310700
?|645851	chr17	26937016	26938463
?|652919	chr2	111296067	111336309
?|653553	chr9	74622672	74623052
?|728045	chr4	74713583	74714553
?|728603	chr10	48844043	48862615
?|728788	chr9	69425668	69448861
?|729884	chr4	69313167	69363321
?|8225	chr23	221426	230887
?|90288	chr3	129120165	129147494
A1BG|1	chr19	58858174	58874120
A1CF|29974	chr10	52566327	52645435
A2BP1|54715	chr16	6069132	7763340
A2LD1|87769	chr13	101182437	101241046
A2ML1|144568	chr12	8975150	9039597
A2M|2	chr12	9220304	9268558
A4GALT|53947	chr22	43088128	43117286
A4GNT|51146	chr3	137842560	137851229
AAA1|404744	chr7	34390035	34911194
AAAS|8086	chr12	53701241	53715412
AACSL|729522	chr5	178191866	178245436
AACS|65985	chr12	125549925	125627872
AADACL2|344752	chr3	151451704	151475554
AADACL3|126767	chr1	12776118	12788726
AADACL4|343066	chr1	12704566	12727096
AADAC|13	chr3	151531861	151546276
AADAT|51166	chr4	170981374	171011372
AAGAB|79719	chr15	67493369	67547533
AAK1|22848	chr2	69685127	69870977
AAMP|14	chr2	219128853	219134893
AANAT|15	chr17	74463651	74466198
AARS2|57505	chr6	44266463	44281063
AARSD1|80755	chr17	41102545	41132545
AARS|16	chr16	70286297	70323412
AASDHPPT|60496	chr11	105948292	105969419
AASDH|132949	chr4	57204459	57253638
AASS|10157	chr7	121713600	121784344
AATF|26574	chr17	35306175	35414170
AATK|9625	chr17	79091100	79139872
ABAT|18	chr16	8768444	8878431
ABCA10|10349	chr17	67144148	67240956
ABCA11P|79963	chr4	419224	467998
ABCA12|26154	chr2	215796267	216003151
ABCA13|154664	chr7	48211057	48687091
ABCA17P|650655	chr16	2389291	2476700
ABCA1|19	chr9	107543285	107690436
ABCA2|20	chr9	139901686	139923374
ABCA3|21	chr16	2325879	2390747
ABCA4|24	chr1	94458396	94586705
ABCA5|23461	chr17	67240576	67323323
ABCA6|23460	chr17	67074847	67138015
ABCA7|10347	chr19	1040102	1065568
ABCA8|10351	chr17	66863433	66951533
ABCA9|10350	chr17	66970774	67057136
ABCB10|23456	chr1	229652330	229694442
ABCB11|8647	chr2	169779449	169887833
ABCB1|5243	chr7	87132948	87342564
ABCB4|5244	chr7	87031361	87105019
ABCB5|340273	chr7	20655245	20796636
ABCB6|10058	chr2	220074494	220085174
ABCB7|22	chr23	74273107	74376132
ABCB8|11194	chr7	150725510	150744867
ABCB9|23457	chr12	123413540	123459752
ABCC10|89845	chr6	43395292	43418163
ABCC11|85320	chr16	48200822	48281479
ABCC12|94160	chr16	48116884	48189929
ABCC13|150000	chr21	15646120	15710335
ABCC1|4363	chr16	16043434	16236928
ABCC2|1244	chr10	101542463	101611662
ABCC3|8714	chr17	48712218	48769062
ABCC4|10257	chr13	95672084	95953687
ABCC5|10057	chr3	183637726	183735727
ABCC6P1|653190	chr16	18582570	18609605
ABCC6P2|730013	chr16	14916289	14918559
ABCC6|368	chr16	16243423	16317328
ABCC8|6833	chr11	17414433	17498449
ABCC9|10060	chr12	21950326	22094336
ABCD1|215	chr23	152990323	153010216
ABCD2|225	chr12	39945022	40013843
ABCD3|5825	chr1	94883933	94984218
ABCD4|5826	chr14	74751980	74769767
ABCE1|6059	chr4	146019156	146050675
ABCF1|23	chr6	30539170	30559307
ABCF2|10061	chr7	150904923	150924317
ABCF3|55324	chr3	183903863	183911795
ABCG1|9619	chr21	43619799	43717352
ABCG2|9429	chr4	89011417	89152474
ABCG4|64137	chr11	119019750	119033372
ABCG5|64240	chr2	44039612	44066004
ABCG8|64241	chr2	44066103	44105604
ABHD10|55347	chr3	111697828	111712208
ABHD11|83451	chr7	73150427	73153190
ABHD12B|145447	chr14	51338878	51371687
ABHD12|26090	chr20	25275380	25371477
ABHD13|84945	chr13	108870763	108886602
ABHD14A|25864	chr3	52009042	52015215
ABHD14B|84836	chr3	52002527	52017425
ABHD15|116236	chr17	27888311	27894048
ABHD1|84696	chr2	27346657	27353678
ABHD2|11057	chr15	89631381	89745591
ABHD3|171586	chr18	19230858	19284766
ABHD4|63874	chr14	23067147	23081257
ABHD5|51099	chr3	43732375	43764216
